id,xIndex,yIndex,AUTO,xcoord,ycoord,BOOL_ROAD,BOOL_RAILW,BOOL_WATER,start,end,cost
96,"8","5",77,2189766.751032848376781,6941264.267266170121729,"1","1","1","19.6710094111, 52.7737897286","18.4633480093, 54.2213179507",252012.516130957
97,"8","6",78,2178877.976601343136281,6859833.063592926599085,"1","1","1","19.5731938861, 52.3290009797","18.4633480093, 54.2213179507",323906.511409536
98,"8","7",79,2168253.745176988188177,6779192.499548376537859,"1","1","0","19.4777547914, 51.8840788385","18.4633480093, 54.2213179507",369910.32498263
99,"8","8",80,2157884.911085556261241,6699321.832808694802225,"1","1","0","19.38460997, 51.4390202574","18.4633480093, 54.2213179507",460080.751416866
100,"8","9",81,2147762.748523830436170,6620200.980469449423254,"1","1","0","19.2936810366, 50.9938220093","18.4633480093, 54.2213179507",493793.330641795
101,"8","10",82,2137878.927981456276029,6541810.490637660957873,"1","1","0","19.204893166, 50.5484806974","18.4633480093, 54.2213179507",566851.072192058
102,"8","11",83,2128225.494226126931608,6464131.515453619882464,"1","1","1","19.1181748952, 50.1029927633","18.4633480093, 54.2213179507",617624.52314986
103,"8","12",84,2123269.184446833562106,6392963.010033173486590,"1","1","1","19.0736516069, 49.6911716982","18.4633480093, 54.2213179507",654103.297450606
105,"9","1",85,2316177.137927653267980,7228697.638765147887170,"1","0","0","20.8065732373, 54.3079616527","18.4633480093, 54.2213179507",261667.539046453
106,"9","2",86,2308375.516097406391054,7178350.343086839653552,"1","1","0","20.736490076, 54.0432434487","18.4633480093, 54.2213179507",213785.543188739
107,"9","3",87,2295774.583179166074842,7094688.262581594288349,"1","1","0","20.6232939696, 53.5996062622","18.4633480093, 54.2213179507",208159.018631859
108,"9","4",88,2283488.955633372534066,7011873.325724294409156,"1","1","0","20.5129302996, 53.1558240478","18.4633480093, 54.2213179507",221090.395064566
109,"9","5",89,2271507.383411089424044,6929883.098738543689251,"1","1","0","20.4052980051, 52.7118950592","18.4633480093, 54.2213179507",297922.104384224
110,"9","6",90,2259819.147433981765062,6848695.874416559934616,"1","1","1","20.3003007949, 52.2678173043","18.4633480093, 54.2213179507",383855.002356581
111,"9","7",91,2248414.028980486094952,6768290.640755384229124,"1","1","0","20.1978468726, 51.8235885593","18.4633480093, 54.2213179507",428053.395537626
112,"9","8",92,2237282.281151045579463,6688647.051158926449716,"1","1","0","20.0978486805, 51.3792063816","18.4633480093, 54.2213179507",438351.376980536
