id,xIndex,yIndex,AUTO,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE,start,end,cost
"130","10","4","109","1","1","0","5023968.96594, 3406968.32857","4888804.42546, 3496273.76387",387764.21404348
"131","10","5","110","1","1","0","5023968.96594, 3361968.32857","4888804.42546, 3496273.76387",378488.625074251
"132","10","6","111","1","1","1","5023968.96594, 3316968.32857","4888804.42546, 3496273.76387",373822.797019511
"133","10","7","112","1","1","0","5023968.96594, 3271968.32857","4888804.42546, 3496273.76387",366399.197925101
"134","10","8","113","1","1","0","5023968.96594, 3226968.32857","4888804.42546, 3496273.76387",469466.197337377
"135","10","9","114","1","1","0","5023968.96594, 3181968.32857","4888804.42546, 3496273.76387",474045.757382146
"136","10","10","115","1","1","0","5023968.96594, 3136968.32857","4888804.42546, 3496273.76387",744141.912018362
"137","10","11","116","1","1","0","5023968.96594, 3091968.32857","4888804.42546, 3496273.76387",819462.802725026
"138","10","12","117","1","1","1","5023968.96594, 3046968.32857","4888804.42546, 3496273.76387",825500.976302355
"139","10","13","118","1","1","0","5023968.96594, 3001968.32857","4888804.42546, 3496273.76387",838897.245820628
"140","10","14","119","1","1","0","5026083.47866, 2968301.85989","4888804.42546, 3496273.76387",967139.007904981
"141","11","1","120","1","1","0","5073437.43308, 3524926.16942","4888804.42546, 3496273.76387",17066.2349702933
"142","11","2","121","1","1","0","5068968.96594, 3496968.32857","4888804.42546, 3496273.76387",18872.1937702434
"143","11","3","122","1","1","0","5068968.96594, 3451968.32857","4888804.42546, 3496273.76387",389340.41313318
"144","11","4","123","1","1","0","5068968.96594, 3406968.32857","4888804.42546, 3496273.76387",389340.41313318
"145","11","5","124","1","0","0","5068968.96594, 3361968.32857","4888804.42546, 3496273.76387",405075.63673969
"146","11","6","125","1","1","1","5068968.96594, 3316968.32857","4888804.42546, 3496273.76387",405075.63673969
"147","11","7","126","1","1","1","5068968.96594, 3271968.32857","4888804.42546, 3496273.76387",448579.317492276
"148","11","8","127","1","1","0","5068968.96594, 3226968.32857","4888804.42546, 3496273.76387",474045.757382146
"149","11","9","128","1","1","0","5068968.96594, 3181968.32857","4888804.42546, 3496273.76387",502155.383995185
"150","11","10","129","1","1","0","5068968.96594, 3136968.32857","4888804.42546, 3496273.76387",732837.78090998
"151","11","11","130","1","1","1","5068968.96594, 3091968.32857","4888804.42546, 3496273.76387",744141.912018362
"152","11","12","131","1","1","1","5068968.96594, 3046968.32857","4888804.42546, 3496273.76387",772594.353815305
"153","11","13","132","1","1","0","5068968.96594, 3001968.32857","4888804.42546, 3496273.76387",798663.217943853
"154","11","14","133","1","1","0","5066622.16623, 2966544.70373","4888804.42546, 3496273.76387",802035.041520461
"155","12","1","134","1","0","0","5116031.72335, 3530536.3199","4888804.42546, 3496273.76387",17066.2349702933
"156","12","2","135","1","1","0","5113968.96594, 3496968.32857","4888804.42546, 3496273.76387",405075.63673969
"157","12","3","136","1","1","0","5113968.96594, 3451968.32857","4888804.42546, 3496273.76387",405075.63673969
"158","12","4","137","1","1","0","5113968.96594, 3406968.32857","4888804.42546, 3496273.76387",405075.63673969
"159","12","5","138","1","1","0","5113968.96594, 3361968.32857","4888804.42546, 3496273.76387",405075.63673969
"160","12","6","139","1","1","0","5113968.96594, 3316968.32857","4888804.42546, 3496273.76387",433952.224191564
"161","12","7","140","1","1","1","5113968.96594, 3271968.32857","4888804.42546, 3496273.76387",461202.193570865
"162","12","8","141","1","1","1","5113968.96594, 3226968.32857","4888804.42546, 3496273.76387",512516.993319605
"163","12","9","142","1","1","0","5113968.96594, 3181968.32857","4888804.42546, 3496273.76387",587303.111586242
"164","12","10","143","1","1","0","5113968.96594, 3136968.32857","4888804.42546, 3496273.76387",658658.212750581
"165","12","11","144","1","1","1","5113968.96594, 3091968.32857","4888804.42546, 3496273.76387",704123.372730651
"166","12","12","145","1","1","0","5113968.96594, 3046968.32857","4888804.42546, 3496273.76387",720567.68624294
"167","12","13","146","1","1","0","5113613.32465, 3002367.26802","4888804.42546, 3496273.76387",766054.383172703
"168","12","14","147","1","1","0","5102221.79444, 2974341.63735","4888804.42546, 3496273.76387",798663.217943853
"169","13","1","148","1","1","0","5158519.77352, 3534273.41545","4888804.42546, 3496273.76387",405075.63673969
"170","13","2","149","1","1","0","5158968.96594, 3496968.32857","4888804.42546, 3496273.76387",405075.63673969
"171","13","3","150","1","1","0","5158968.96594, 3451968.32857","4888804.42546, 3496273.76387",405075.63673969
"172","13","4","151","1","1","0","5158968.96594, 3406968.32857","4888804.42546, 3496273.76387",405075.63673969
"173","13","5","152","1","1","0","5158968.96594, 3361968.32857","4888804.42546, 3496273.76387",429702.651699303
"174","13","6","153","1","1","0","5158968.96594, 3316968.32857","4888804.42546, 3496273.76387",444087.081887677
"175","13","7","154","1","1","0","5158968.96594, 3271968.32857","4888804.42546, 3496273.76387",531285.380388201
"176","13","8","155","1","1","1","5158968.96594, 3226968.32857","4888804.42546, 3496273.76387",547121.689716604
"177","13","9","156","1","1","1","5158968.96594, 3181968.32857","4888804.42546, 3496273.76387",600336.791916599
"178","13","10","157","1","1","1","5158968.96594, 3136968.32857","4888804.42546, 3496273.76387",638074.509279845
"179","13","11","158","1","1","1","5158968.96594, 3091968.32857","4888804.42546, 3496273.76387",669007.715085621
"180","13","12","159","1","1","0","5158968.96594, 3046968.32857","4888804.42546, 3496273.76387",706239.294514561
