id,xIndex,yIndex,AUTO,BOOL_ROAD,BOOL_RAILWAY,BOOL_WATERCOURSE,start,end,cost
"198","5","30","87","1","1","0","4669894.34089, 3122190.85637","4873968.96594, 3511968.32857",570902.607902436
"199","5","31","88","0","1","0","4670173.02252, 3107239.05098","4873968.96594, 3511968.32857",586078.266217694
"200","5","32","89","0","0","0","4670386.41039, 3096188.17591","4873968.96594, 3511968.32857",593522.041863512
"216","6","6","90","0","0","0","4679739.20169, 3480175.67909","4873968.96594, 3511968.32857",231333.384635346
"217","6","7","91","1","1","0","4678968.96594, 3466968.32857","4873968.96594, 3511968.32857",233880.379673887
"218","6","8","92","0","1","0","4678968.96594, 3451968.32857","4873968.96594, 3511968.32857",245625.581737271
"219","6","9","93","1","0","0","4678968.96594, 3436968.32857","4873968.96594, 3511968.32857",262154.266424685
"220","6","10","94","1","0","0","4678968.96594, 3421968.32857","4873968.96594, 3511968.32857",287370.027165496
"221","6","11","95","0","0","0","4678968.96594, 3406968.32857","4873968.96594, 3511968.32857",272179.354832404
"222","6","12","96","1","1","0","4678968.96594, 3391968.32857","4873968.96594, 3511968.32857",285789.557585608
"223","6","13","97","1","1","0","4678968.96594, 3376968.32857","4873968.96594, 3511968.32857",297451.483982744
"224","6","14","98","1","1","0","4678968.96594, 3361968.32857","4873968.96594, 3511968.32857",316878.13107645
"225","6","15","99","0","1","0","4678968.96594, 3346968.32857","4873968.96594, 3511968.32857",328607.302922548
"226","6","16","100","0","0","0","4678968.96594, 3331968.32857","4873968.96594, 3511968.32857",313382.46337587
"227","6","17","101","1","0","0","4678968.96594, 3316968.32857","4873968.96594, 3511968.32857",310066.089271741
"228","6","18","102","1","1","0","4678968.96594, 3301968.32857","4873968.96594, 3511968.32857",322743.79313369
"229","6","19","103","1","1","0","4678968.96594, 3286968.32857","4873968.96594, 3511968.32857",338414.336663382
"230","6","20","104","0","0","0","4678968.96594, 3271968.32857","4873968.96594, 3511968.32857",398542.470947417
"231","6","21","105","1","1","0","4678968.96594, 3256968.32857","4873968.96594, 3511968.32857",404688.063530686
"232","6","22","106","0","1","0","4678968.96594, 3241968.32857","4873968.96594, 3511968.32857",439674.968485875
"233","6","23","107","1","1","0","4678968.96594, 3226968.32857","4873968.96594, 3511968.32857",471770.067546689
"234","6","24","108","0","1","0","4678968.96594, 3211968.32857","4873968.96594, 3511968.32857",479552.616134006
"235","6","25","109","1","1","0","4678968.96594, 3196968.32857","4873968.96594, 3511968.32857",495347.37323371
"236","6","26","110","1","1","0","4678968.96594, 3181968.32857","4873968.96594, 3511968.32857",519553.945539024
"237","6","27","111","1","1","0","4678968.96594, 3166968.32857","4873968.96594, 3511968.32857",532709.242352727
"238","6","28","112","0","1","0","4678968.96594, 3151968.32857","4873968.96594, 3511968.32857",547314.441497334
"239","6","29","113","1","1","0","4678968.96594, 3136968.32857","4873968.96594, 3511968.32857",545637.3710689
"240","6","30","114","1","1","0","4678968.96594, 3121968.32857","4873968.96594, 3511968.32857",568162.622661692
"241","6","31","115","1","1","0","4678968.96594, 3106968.32857","4873968.96594, 3511968.32857",596347.829037789
"242","6","32","116","1","1","0","4679320.67321, 3095462.02356","4873968.96594, 3511968.32857",601016.304177896
"257","7","5","117","0","0","0","4696855.04452, 3491565.47458","4873968.96594, 3511968.32857",214019.002107583
"258","7","6","118","0","0","0","4693978.6184, 3481958.39037","4873968.96594, 3511968.32857",217789.391991105
"259","7","7","119","1","1","0","4693968.96594, 3466968.32857","4873968.96594, 3511968.32857",221276.794445771
"260","7","8","120","1","0","0","4693968.96594, 3451968.32857","4873968.96594, 3511968.32857",236677.692397486
"261","7","9","121","1","0","0","4693968.96594, 3436968.32857","4873968.96594, 3511968.32857",242289.872856733
"262","7","10","122","0","1","0","4693968.96594, 3421968.32857","4873968.96594, 3511968.32857",254228.702055664
"263","7","11","123","0","1","0","4693968.96594, 3406968.32857","4873968.96594, 3511968.32857",266242.832617222
"264","7","12","124","1","1","0","4693968.96594, 3391968.32857","4873968.96594, 3511968.32857",264929.31782239
"265","7","13","125","0","0","0","4693968.96594, 3376968.32857","4873968.96594, 3511968.32857",298074.178495649
"266","7","14","126","1","1","0","4693968.96594, 3361968.32857","4873968.96594, 3511968.32857",302167.557298473
"267","7","15","127","0","1","0","4693968.96594, 3346968.32857","4873968.96594, 3511968.32857",311048.191084306
"268","7","16","128","1","1","0","4693968.96594, 3331968.32857","4873968.96594, 3511968.32857",302828.847557431
"269","7","17","129","1","1","0","4693968.96594, 3316968.32857","4873968.96594, 3511968.32857",303150.895277784
"270","7","18","130","0","1","0","4693968.96594, 3301968.32857","4873968.96594, 3511968.32857",315811.010122651
"271","7","19","131","1","1","0","4693968.96594, 3286968.32857","4873968.96594, 3511968.32857",357381.136239714
"272","7","20","132","1","1","0","4693968.96594, 3271968.32857","4873968.96594, 3511968.32857",376708.268118345
"273","7","21","133","1","1","0","4693968.96594, 3256968.32857","4873968.96594, 3511968.32857",401892.780176133
"274","7","22","134","1","0","0","4693968.96594, 3241968.32857","4873968.96594, 3511968.32857",399569.0959609
"275","7","23","135","1","1","0","4693968.96594, 3226968.32857","4873968.96594, 3511968.32857",461690.996028285
"276","7","24","136","1","1","0","4693968.96594, 3211968.32857","4873968.96594, 3511968.32857",472687.044670497
"277","7","25","137","1","0","0","4693968.96594, 3196968.32857","4873968.96594, 3511968.32857",491288.188443698
